,'Amusement','Anger','Awe','Content','Disgust','Excitement','Fear','Sad'
'abstract_0001.jpg',5,0,0,7,1,1,1,1
'abstract_0002.jpg',1,0,1,6,0,3,0,1
'abstract_0003.jpg',1,3,1,0,1,3,2,2
'abstract_0004.jpg',0,1,0,2,0,0,2,8
'abstract_0005.jpg',1,0,2,6,4,2,0,1
'abstract_0006.jpg',1,0,4,5,1,2,0,0
'abstract_0007.jpg',0,0,1,0,5,0,4,9
'abstract_0008.jpg',0,0,2,1,0,2,2,4
'abstract_0009.jpg',2,0,3,7,1,1,0,3
'abstract_0010.jpg',1,0,3,8,0,0,0,0
'abstract_0011.jpg',0,1,3,2,3,1,2,7
'abstract_0012.jpg',5,1,2,0,0,6,1,1
'abstract_0013.jpg',1,0,1,2,0,5,0,1
'abstract_0014.jpg',2,0,2,6,1,0,2,2
'abstract_0015.jpg',1,1,0,7,0,1,1,0
'abstract_0016.jpg',0,0,1,1,0,1,6,5
'abstract_0018.jpg',1,0,1,2,0,2,1,0
'abstract_0019.jpg',0,3,0,0,7,1,4,0
'abstract_0020.jpg',9,1,6,2,0,3,2,1
'abstract_0021.jpg',2,0,1,4,0,6,2,0
'abstract_0022.jpg',2,0,0,0,4,4,0,1
'abstract_0023.jpg',0,0,1,2,1,2,1,4
'abstract_0025.jpg',2,1,2,3,1,3,4,3
'abstract_0026.jpg',1,0,0,3,1,5,0,0
'abstract_0027.jpg',0,4,2,0,1,2,12,3
'abstract_0028.jpg',0,1,2,0,0,0,5,1
'abstract_0029.jpg',4,0,2,2,0,3,1,0
'abstract_0030.jpg',1,0,4,5,3,4,1,2
'abstract_0031.jpg',0,2,1,0,0,5,0,2
'abstract_0032.jpg',0,0,5,1,1,2,1,3
'abstract_0033.jpg',1,0,3,4,0,0,1,0
'abstract_0034.jpg',8,1,0,4,1,2,0,0
'abstract_0035.jpg',0,0,2,7,2,2,1,0
'abstract_0036.jpg',0,1,1,0,4,0,3,2
'abstract_0037.jpg',7,0,1,0,1,4,0,0
'abstract_0038.jpg',1,0,3,4,1,0,1,2
'abstract_0039.jpg',4,0,1,0,1,3,0,0
'abstract_0040.jpg',0,4,1,1,1,0,5,5
'abstract_0041.jpg',0,3,0,0,2,7,1,1
'abstract_0042.jpg',1,2,0,0,1,0,3,2
'abstract_0043.jpg',0,4,2,0,1,0,7,4
'abstract_0044.jpg',1,2,1,0,0,5,1,0
'abstract_0045.jpg',1,2,3,0,1,5,0,2
'abstract_0046.jpg',0,1,1,3,5,1,2,3
'abstract_0047.jpg',4,0,1,2,1,3,0,1
'abstract_0048.jpg',1,0,0,0,4,2,4,3
'abstract_0049.jpg',1,1,2,3,2,0,1,0
'abstract_0050.jpg',2,1,2,0,2,3,1,1
'abstract_0051.jpg',2,0,3,1,2,3,0,3
'abstract_0052.jpg',0,2,0,2,2,3,9,1
'abstract_0053.jpg',1,2,3,0,0,5,1,0
'abstract_0054.jpg',1,0,2,0,2,1,1,2
'abstract_0055.jpg',0,1,1,1,3,2,6,4
'abstract_0056.jpg',0,0,0,10,1,0,1,3
'abstract_0057.jpg',0,1,1,1,0,0,11,3
'abstract_0058.jpg',0,1,4,1,1,3,5,3
'abstract_0059.jpg',2,0,5,2,2,5,2,1
'abstract_0060.jpg',0,0,3,1,3,1,4,3
'abstract_0061.jpg',6,1,3,8,2,3,1,1
'abstract_0062.jpg',0,1,1,3,0,1,7,0
'abstract_0063.jpg',0,0,6,5,1,1,1,1
'abstract_0064.jpg',2,0,0,0,2,3,1,1
'abstract_0065.jpg',0,3,0,0,5,1,2,4
'abstract_0066.jpg',4,1,2,0,2,5,0,0
'abstract_0067.jpg',0,0,1,1,3,0,1,3
'abstract_0068.jpg',1,0,2,2,6,1,3,3
'abstract_0069.jpg',0,1,3,3,2,0,7,0
'abstract_0070.jpg',0,0,2,5,0,0,0,2
'abstract_0072.jpg',0,1,1,1,1,0,5,5
'abstract_0073.jpg',0,1,1,0,4,0,1,6
'abstract_0074.jpg',1,1,2,1,2,1,5,5
'abstract_0075.jpg',0,0,0,10,0,2,0,1
'abstract_0076.jpg',3,1,2,4,0,1,0,4
'abstract_0077.jpg',1,0,3,2,1,1,1,2
'abstract_0078.jpg',1,0,1,4,0,1,1,0
'abstract_0079.jpg',4,0,1,2,2,2,0,0
'abstract_0080.jpg',0,1,5,1,3,1,1,1
'abstract_0081.jpg',0,7,0,1,1,1,2,1
'abstract_0082.jpg',0,0,1,2,0,2,6,6
'abstract_0083.jpg',1,0,3,3,0,2,0,0
'abstract_0084.jpg',1,0,5,1,0,4,0,1
'abstract_0085.jpg',2,0,5,3,6,3,0,0
'abstract_0086.jpg',0,0,2,6,1,4,0,3
'abstract_0087.jpg',7,1,0,0,1,3,1,0
'abstract_0088.jpg',0,1,6,1,1,0,5,3
'abstract_0089.jpg',3,0,2,1,3,3,0,1
'abstract_0090.jpg',1,0,2,1,2,3,4,0
'abstract_0091.jpg',3,0,6,4,0,4,0,0
'abstract_0092.jpg',4,0,3,1,1,1,2,0
'abstract_0093.jpg',0,1,1,1,3,3,0,0
'abstract_0094.jpg',0,3,1,0,7,2,2,1
'abstract_0095.jpg',3,0,1,5,0,1,0,2
'abstract_0096.jpg',0,0,2,2,1,2,2,1
'abstract_0097.jpg',0,0,0,1,2,0,3,6
'abstract_0098.jpg',0,3,1,2,1,4,2,1
'abstract_0099.jpg',6,0,4,4,1,1,0,0
'abstract_0100.jpg',0,2,6,4,0,2,2,0
'abstract_0101.jpg',0,1,2,3,2,2,1,7
'abstract_0102.jpg',0,0,0,4,2,0,2,3
'abstract_0103.jpg',3,2,2,0,3,1,0,2
'abstract_0104.jpg',0,0,0,2,2,4,2,0
'abstract_0105.jpg',2,0,1,7,1,0,1,3
'abstract_0106.jpg',0,1,2,9,1,0,0,5
'abstract_0107.jpg',0,0,1,0,1,1,1,5
'abstract_0108.jpg',0,0,3,1,1,5,0,1
'abstract_0109.jpg',0,0,1,3,3,4,3,0
'abstract_0110.jpg',1,2,1,0,0,1,5,2
'abstract_0111.jpg',3,1,3,5,3,3,1,0
'abstract_0112.jpg',2,1,2,1,1,1,11,1
'abstract_0113.jpg',1,1,2,0,5,1,5,2
'abstract_0114.jpg',1,2,6,3,0,1,1,3
'abstract_0115.jpg',1,4,3,1,0,4,1,2
'abstract_0116.jpg',0,0,2,6,0,1,2,2
'abstract_0117.jpg',0,2,1,2,3,2,2,1
'abstract_0118.jpg',0,1,2,3,0,7,4,1
'abstract_0119.jpg',1,1,3,10,0,2,0,1
'abstract_0120.jpg',3,0,1,10,0,1,0,3
'abstract_0121.jpg',0,0,4,4,1,0,0,3
'abstract_0122.jpg',2,2,0,5,0,3,2,5
'abstract_0123.jpg',0,1,2,0,2,1,2,1
'abstract_0124.jpg',3,1,2,1,0,6,0,0
'abstract_0125.jpg',2,0,2,3,1,2,1,0
'abstract_0126.jpg',3,0,1,5,1,4,0,3
'abstract_0127.jpg',1,0,1,5,2,2,2,2
'abstract_0128.jpg',2,0,2,6,1,3,1,1
'abstract_0129.jpg',8,1,0,2,2,2,1,0
'abstract_0130.jpg',1,1,4,7,0,3,2,3
'abstract_0131.jpg',1,1,3,2,0,0,3,4
'abstract_0132.jpg',2,0,3,1,3,1,0,2
'abstract_0133.jpg',0,0,1,5,0,0,0,4
'abstract_0134.jpg',1,1,0,12,0,2,1,4
'abstract_0135.jpg',10,0,1,3,2,2,1,1
'abstract_0136.jpg',1,0,0,4,0,4,1,0
'abstract_0137.jpg',4,0,0,0,0,4,2,0
'abstract_0138.jpg',7,2,0,0,3,5,0,1
'abstract_0139.jpg',0,0,0,0,4,1,3,4
'abstract_0140.jpg',0,1,4,2,3,1,3,9
'abstract_0141.jpg',2,0,1,5,0,1,1,5
'abstract_0142.jpg',0,2,1,6,2,3,1,0
'abstract_0143.jpg',1,4,1,1,2,1,3,6
'abstract_0144.jpg',2,1,3,5,0,1,1,3
'abstract_0145.jpg',1,1,1,7,0,0,1,0
'abstract_0146.jpg',4,0,1,4,0,1,0,1
'abstract_0147.jpg',2,1,0,6,4,0,1,3
'abstract_0148.jpg',5,2,1,3,0,3,1,0
'abstract_0149.jpg',0,0,0,2,4,2,3,2
'abstract_0150.jpg',6,0,0,4,0,2,1,1
'abstract_0151.jpg',0,1,0,1,2,4,0,2
'abstract_0152.jpg',0,2,3,2,5,1,0,2
'abstract_0153.jpg',1,1,3,0,3,4,2,0
'abstract_0154.jpg',4,0,1,1,2,7,1,0
